Day,Time In,Time Out,Location,Reason,User,reason_nlp_label,time_spent
2/6/19,8:58,10:00,Computer Science Building,CSCI 502,11,,1.03
2/6/19,10:04,10:40,Founders Memorial Library,To collect some Information,11,,0.6
2/6/19,16:55,18:00,Computer Science Building,CSCI 627,11,,1.08
2/7/19,10:55,12:18,Computer Science Building,CSCI 512,11,,1.38
2/7/19,12:40,13:00,Health Services,Submitting Immunization Reports,11,,0.33
2/8/19,9:00,10:00,Computer Science Building,CSCI 502,11,,1
2/8/19,16:55,17:59,Holmes Student Center,ISA Meet,11,,1.07
2/3/19,12:04,12:06,Parking Building,Car Park,12,label_food,0.03
2/3/19,12:10,13:30,Faraday Hall,Office - Collect laptop,12,label_work,1.33
2/3/19,13:35,13:42,Parking Building,Car Pickup,12,label_food,0.12
2/4/19,15:00,15:07,Parking Building,Car Park,12,label_food,0.12
2/4/19,15:12,16:58,Faraday Hall,Office,12,label_food,1.77
2/4/19,17:02,18:17,Computer Science Building,CSCI 627,12,,1.25
2/4/19,17:23,19:42,Faraday Hall,Office,12,label_food,2.32
2/4/19,19:48,19:55,Parking Building,Car Pickup,12,label_food,0.12
2/5/19,10:00,10:12,Parking Building,Car Park,12,label_food,0.2
2/5/19,10:18,15:00,Faraday Hall,Office,12,label_food,4.7
2/5/19,15:14,15:58,Holmes Student Center,Lunch,12,label_food,0.73
2/5/19,16:08,16:14,Parking Building,Car Pickup,12,label_food,0.1
2/6/19,7:06,7:51,Student Recreation Center,Exercise,12,label_work,0.75
2/6/19,9:15,9:28,Parking Building,Car Park,12,label_food,0.22
2/6/19,9:44,14:05,Faraday Hall,Office,12,label_food,4.35
2/6/19,14:14,14:58,Founders Memorial Library,Lunch,12,label_food,0.73
2/6/19,15:06,16:57,Faraday Hall,Office,12,label_food,1.85
2/6/19,17:04,18:23,Computer Science Building,CSCI 627,12,,1.32
2/6/19,18:29,18:34,Parking Building,Car Pickup,12,label_food,0.08
2/7/19,9:45,9:51,Parking Building,Car Park,12,label_food,0.1
2/7/19,9:56,12:15,Computer Science Building,240 Office hours,12,label_leisure,2.32
2/7/19,12:23,13:21,Holmes Student Center,Lunch,12,label_food,0.97
2/7/19,13:29,13:35,Parking Building,Car Pickup,12,label_food,0.1
2/7/19,17:07,19:08,Student Recreation Center,Exercise/Sauna,12,,2.02
2/8/19,9:58,10:04,Parking Building,Car Park,12,label_food,0.1
2/8/19,10:08,12:18,Computer Science Building,240 Office hours,12,label_leisure,2.17
2/8/19,12:24,12:29,Parking Building,Car Pickup,12,label_food,0.08
2/8/19,17:06,18:45,Student Recreation Center,Exercise,12,label_work,1.65
2/9/19,17:54,18:52,Student Recreation Center,Exercise,12,label_work,0.97
2/4/19,17:24,18:14,Engineering Building,IEEE Meeting,13,,0.83
2/5/19,14:18,15:35,Computer Science Building,IRS class,13,label_class,1.28
2/5/19,16:40,17:27,Computer Science Building,Research Work,13,label_work,0.78
2/6/19,15:23,19:32,Computer Science Building,"Research Work, Data Vis class",13,label_class,4.15
2/7/19,13:47,15:35,Computer Science Building,IRS class,13,label_class,1.8
2/8/19,15:36,18:00,Computer Science Building,Research Meeting,13,label_work,2.4
2/3/19,17:00,19:00,Student Recreation Center,workout,14,label_work,2
2/4/19,10:00,11:30,Cole Hall,Android class,14,label_class,1.5
2/4/19,17:00,18:30,Computer Science Building,Date Vis,14,label_class,1.5
2/4/19,20:00,22:10,Student Recreation Center,workout,14,label_work,2.17
2/5/19,11:00,12:20,Computer Science Building,Python,14,label_food,1.33
2/5/19,19:30,21:30,Student Recreation Center,workout,14,label_work,2
2/6/19,10:00,11:30,Cole Hall,Android class,14,label_class,1.5
2/6/19,17:00,18:30,Computer Science Building,Date Vis,14,label_class,1.5
2/6/19,20:00,21:20,Student Recreation Center,workout,14,label_work,1.33
2/7/19,11:00,12:20,Computer Science Building,Python,14,label_food,1.33
2/7/19,19:40,23:00,Student Recreation Center,basketball,14,label_work,3.33
2/8/19,12:20,15:00,NIU College of Business,study and go the homework,14,,2.67
2/9/19,13:00,14:40,Student Recreation Center,workout,14,label_work,1.67
2/4/19,9:45,11:20,Cole Hall,CSCI 522,16,,1.58
2/4/19,14:59,18:19,Computer Science Building,Study & CSCI 627,16,,3.33
2/5/19,13:58,15:20,Dusable Hall,STAT 573,16,,1.37
2/5/19,15:31,16:27,Computer Science Building,Study,16,label_work,0.93
2/6/19,9:47,11:42,Cole Hall,CSCI 522,16,,1.92
2/6/19,13:50,14:23,Dusable Hall,Meet with STAT 573 Professor,16,,0.55
2/6/19,14:37,18:20,Computer Science Building,Study & CSCI 627,16,,3.72
2/6/19,20:15,21:50,Computer Science Building,Study,16,label_work,1.58
2/7/19,13:52,15:18,Dusable Hall,STAT 573,16,,1.43
2/7/19,16:53,17:58,Graham Hall ,STAT 573A,16,,1.08
2/4/19,7:48,8:54,Student Recreation Center,Gym,17,label_food,1.1
2/4/19,9:57,11:17,Cole Hall,CSCI 522 class,17,,1.33
2/4/19,11:27,15:29,Neptune Hall,Shift,17,label_work,4.03
2/4/19,16:57,18:17,Computer Science Building,CSCI 627 class,17,,1.33
2/5/19,13:47,15:24,Computer Science Building,CSCI 602 class,17,,1.62
2/5/19,15:36,16:57,Campus Life Building,Linkedin Workshop,17,,1.35
2/5/19,17:36,21:26,Neptune Hall,Shift,17,label_work,3.83
2/6/19,7:14,8:35,Student Recreation Center,Gym,17,label_food,1.35
2/6/19,10:01,11:13,Cole Hall,CSCI 522 class,17,,1.2
2/6/19,11:33,15:23,Neptune Hall,Shift,17,label_work,3.83
2/6/19,16:54,18:12,Computer Science Building,CSCI 627 class,17,,1.3
2/7/19,7:53,9:20,Student Recreation Center,Gym,17,label_food,1.45
2/7/19,13:53,15:24,Computer Science Building,CSCI 602 class,17,,1.52
2/7/19,17:46,21:37,Neptune Hall,Shift,17,label_work,3.85
2/8/19,16:52,17:08,Holmes Student Center,ISA Meeting,17,,0.27
2/4/19,11:30,12:30,Student Recreation Center,I went there to exercise,19,,1
2/4/19,13:00,13:30,Panda House,I went there for lunch,19,,0.5
2/4/19,14:00,16:45,Computer Science Building,I went there to do homework,19,,2.75
2/4/19,17:00,18:15,Computer Science Building,visualization class,19,label_class,1.25
2/5/19,9:30,10:45,Computer Science Building,I went there for C#/.NET class,19,,1.25
2/5/19,11:00,14:00,Holmes Student Center,I went there to do homework,19,,3
2/6/19,11:00,12:30,Student Recreation Center,I went there to exercise,19,,1.5
2/6/19,13:00,13:30,Holmes Student Center,I went there for lunch,19,,0.5
2/6/19,13:45,16:30,NIU Altgeld Hall,I went there to work on,19,,2.75
2/6/19,17:00,18:15,Computer Science Building,I went there for data,19,,1.25
2/7/19,9:30,10:45,Computer Science Building,I went there for C#/.NET class,19,,1.25
2/7/19,11:00,11:30,Holmes Student Center,I went there for lunch,19,,0.5
2/7/19,11:45,16:00,NIU Altgeld Hall,I went there to work on,19,,4.25
2/8/19,17:00,21:30,Holmes Student Center,I went there to work on a,19,,4.5
2/4/19,12:12,12:55,Still Hall,Research,20,label_work,0.72
2/4/19,12:58,15:28,Still Hall,Research,20,label_work,2.5
2/5/19,10:59,12:17,Computer Science Building,Python,20,label_food,1.3
2/5/19,12:20,12:48,Computer Science Building,Python,20,label_food,0.47
2/5/19,13:11,14:19,Adams Hall,IRB,20,,1.13
2/6/19,11:07,12:47,Computer Science Building,Thesis,20,label_class,1.67
2/6/19,12:57,14:09,Still Hall,Research,20,label_work,1.2
2/6/19,14:17,16:56,Computer Science Building,DataVis,20,,2.65
2/6/19,16:57,18:24,Computer Science Building,DataVis,20,,1.45
2/7/19,10:57,12:12,Computer Science Building,Python,20,label_food,1.25
2/7/19,12:47,13:21,Adams Hall,Grad,20,label_class,0.57
2/7/19,13:25,14:04,Williston Hall,OPT,20,,0.65
2/4/19,16:47,16:49,Parking Building,park car,21,label_food,0.03
2/4/19,16:51,18:14,Computer Science Building,go to data visualization,21,,1.38
2/4/19,18:15,18:22,Parking Building,retrieve car,21,,0.12
2/5/19,12:58,13:29,Parking Building,park car,21,label_food,0.52
2/5/19,13:34,15:17,Computer Science Building,go to algorithms,21,,1.72
2/5/19,15:21,15:30,Founders Memorial Library,reload niu one card,21,,0.15
2/5/19,15:33,15:39,Parking Building,retrieve car,21,,0.1
2/6/19,16:45,16:52,Parking Building,park car,21,label_food,0.12
2/6/19,16:54,18:03,Computer Science Building,go to data visualization,21,,1.15
2/6/19,18:06,18:10,Parking Building,retrieve car,21,,0.07
2/7/19,13:18,13:23,Parking Building,park car,21,label_food,0.08
2/7/19,13:26,15:33,Computer Science Building,go to algorithms,21,,2.12
2/7/19,15:36,15:39,Swen Parson Hall,walk through,21,label_work,0.05
2/7/19,15:41,15:49,Adams Hall,get information about graduation/after graduation,21,,0.13
2/7/19,15:54,16:09,Founders Memorial Library,food,21,label_food,0.25
2/7/19,16:12,16:17,Parking Building,retrieve car,21,,0.08
2/3/19,15:40,17:00,Student Recreation Center,Ping pong,22,,1.33
2/4/19,10:00,11:20,Cole Hall,CSCI 522,22,,1.33
2/4/19,11:35,12:15,Home,Breakfast,22,label_food,0.67
2/4/19,12:30,16:20,Stevenson Towers,Work,22,label_work,3.83
2/4/19,16:30,16:50,Home,Lunch,22,label_food,0.33
2/5/19,17:00,18:20,Computer Science Building,CSCI 627,22,,1.33
2/5/19,13:05,15:15,Computer Science Building,CSCI 602,22,,2.17
2/5/19,15:30,18:30,Stevenson Towers,Work,22,label_work,3
2/6/19,10:20,11:30,Cole Hall,CSCI 522,22,,1.17
2/6/19,11:45,15:35,Stevenson Towers,Work,22,label_work,3.83
2/6/19,15:45,16:30,Home,Lunch,22,label_food,0.75
2/6/19,16:35,18:10,Computer Science Building,CSCI 627,22,,1.58
2/7/19,14:00,15:10,Computer Science Building,CSCI 602,22,,1.17
2/7/19,15:15,18:30,Stevenson Towers,Work,22,label_work,3.25
2/7/19,18:40,22:00,Home,Dinner,22,label_food,3.33
2/7/19,22:15,23:00,Walmart,Shopping,22,,0.75
2/8/19,18:10,20:00,Student Recreation Center,Gym and Ping pong,22,label_food,1.83
2/9/19,17:10,19:00,Student Recreation Center,Ping pong,22,,1.83
2/9/19,22:10,23:59,Home,Cleaning,22,,1.82
2/4/19,13:53,13:54,Parking Building,Parking,24,,0.02
2/4/19,14:00,17:00,Faraday Hall,TA Hours,24,label_leisure,3
2/4/19,16:52,18:45,Computer Science Building,CSCI 627,24,,1.88
2/4/19,18:50,18:53,Parking Building,Getting Car,24,,0.05
2/6/19,13:31,13:53,Parking Building,Parking,24,,0.37
2/6/19,13:58,16:55,Faraday Hall,TA Hours,24,label_leisure,2.95
2/6/19,16:58,18:34,Computer Science Building,CSCI 627,24,,1.6
2/6/19,18:38,18:46,Parking Building,Getting Car,24,,0.13
2/4/19,9:30,10:00,Adams Hall,meeting,25,label_class,0.5
2/4/19,10:10,11:00,Computer Science Building,meeting,25,label_class,0.83
2/4/19,17:00,18:15,Computer Science Building,class,25,label_class,1.25
2/4/19,19:00,20:15,Student Recreation Center,workout,25,label_work,1.25
2/5/19,11:00,11:30,Computer Science Building,meeting,25,label_class,0.5
2/5/19,11:40,12:20,Holmes Student Center,job hunting,25,,0.67
2/5/19,12:45,13:15,Cole Hall,meeting,25,label_class,0.5
2/5/19,16:00,16:30,Student Recreation Center,workout,25,label_work,0.5
2/6/19,11:00,12:30,Holmes Student Center,job hunting,25,,1.5
2/6/19,17:00,18:15,Computer Science Building,class,25,label_class,1.25
2/6/19,20:00,22:00,Student Recreation Center,workout,25,label_work,2
2/7/19,11:00,11:30,Computer Science Building,meeting,25,label_class,0.5
2/7/19,11:40,12:20,Founders Memorial Library,chill,25,label_leisure,0.67
2/7/19,12:25,13:45,Cole Hall,class,25,label_class,1.33
2/7/19,17:00,19:00,Student Recreation Center,workout,25,label_work,2
2/8/19,16:00,19:00,Student Recreation Center,workout,25,label_work,3
2/9/19,13:00,16:00,Founders Memorial Library,work on assignment,25,label_work,3
2/9/19,18:00,19:00,Student Recreation Center,workout,25,label_work,1
2/4/19,12:00,8:00,friends place,hangout,26,label_food,20
2/4/19,8:00,14:00,Home,"cooking, gaming , studying",26,,6
2/4/19,14:20,16:00,Student Recreation Center,workout,26,label_work,1.67
2/4/19,16:10,18:00,Home,"fresh up, finish english assignment",26,,1.83
2/4/19,18:00,22:00,Mardi Gras Lanes,bowling,26,label_work,4
2/4/19,22:30,12:00,Home,"dinner, laundry",26,label_food,13.5
2/5/19,12:00,8:00,Home,sleep,26,label_class,20
2/5/19,8:00,13:00,Founders Memorial Library,work,26,label_work,5
2/5/19,13:30,16:30,Home,"eat, read data vis papers",26,,3
2/5/19,17:00,18:15,Computer Science Building,Data Visualisation class,26,label_class,1.25
2/5/19,18:30,20:30,Walmart,Groceries Shopping,26,,2
2/6/19,21:00,12:00,Home,"eat, finish assignment",26,,15
2/6/19,12:00,6:30,Home,sleep,26,label_class,18.5
2/6/19,6:30,12:00,Home,read IRS slides,26,,5.5
2/6/19,12:30,13:45,Reavis Hall,English class,26,,1.25
2/6/19,13:45,15:15,Computer Science Building,Information Storage and Retrival Class,26,,1.5
2/6/19,16:00,22:00,Founders Memorial Library,work,26,label_work,6
2/7/19,12:00,8:30,Home,sleep,26,label_class,20.5
2/7/19,10:00,14:00,Starbucks,study,26,label_work,4
2/7/19,14:20,16:30,Home,"lunch, assignment corrections",26,label_work,2.17
2/7/19,17:00,18:15,Computer Science Building,Data Visualisation class,26,label_class,1.25
2/7/19,18:30,12:00,Home,datacamp courses,26,,17.5
2/8/19,12:00,4:00,Home,watched environment documentaries,26,,16
2/8/19,12:30,13:45,Reavis Hall,English class,26,,1.25
2/8/19,13:45,15:15,Computer Science Building,Information Storage and Retrival Class,26,,1.5
2/8/19,16:00,20:00,Founders Memorial Library,Work,26,label_work,4
2/8/19,20:30,22:00,Student Recreation Center,workout,26,label_work,1.5
2/9/19,12:00,15:00,Home,"sleep, study, cook",26,label_work,3
2/9/19,15:30,17:00,Student Recreation Center,Table Tennis,26,,1.5
2/9/19,18:00,19:00,Walmart,Groceries Shopping,26,,1
2/9/19,19:30,23:00,Home,datacamp courses,26,,3.5
2/9/19,23:00,12:00,Mollys,chill,26,label_leisure,13
02/03/19,19:43,21:09,Student Recreation Center,"running, sauna",27,label_food,1.43
02/04/19,13:11,13:51,Founders Memorial Library,"lunch, trying out einstein bagels",27,,0.67
02/04/19,14:03,15:33,Computer Science Building,Computer Science Building,27,label_food,1.5
02/04/19,16:56,18:24,Computer Science Building,"CSCI 627, lecture",27,,1.47
02/04/19,20:20,22:16,Student Recreation Center,"rowing, sauna",27,label_work,1.93
02/05/19,11:00,11:30,Music Building,Violin Class information,27,label_class,0.5
02/05/19,12:27,13:56,Dusable Hall,"lunch, mexican",27,,1.48
02/05/19,14:12,2:44,Computer Science Building,"CSCI-642, Research, Thesis work",27,,12.53
02/06/19,12:30,13:30,Gabel Hall,Meeting with Professor,27,,1
02/06/19,16:01,16:30,Anderson Hall,Checking the swimming pool,27,,0.48
02/06/19,17:00,18:40,Computer Science Building,"CSCI-627, lecture",27,,1.67
02/06/19,20:10,22:31,Student Recreation Center,"Running, sauna",27,,2.35
02/07/19,14:00,14:30,Health Services,"Health checkup, immunization",27,label_work,0.5
02/07/19,14:37,14:50,Adams Hall,"Thesis enrollment, grad school",27,,0.22
02/07/19,15:00,15:11,Swen Parson Hall,Query about tuition fee,27,label_work,0.18
02/08/19,21:00,21:33,Health Services,Health checkup,27,label_work,0.55
02/08/19,15:20,17:49,Computer Science Building,Data Lab weekly meeting,27,,2.48
